2023-08-02 12:02:39,566 - select_connection - DEBUG	 - _get_poller: 415	 - Using EPollPoller
2023-08-02 12:02:39,567 - base_connection - DEBUG	 - _start_connection_workflow: 168	 - Created default connection workflow <pika.adapters.utils.connection_workflow.AMQPConnectionWorkflow object at 0x7fb76a024520>
2023-08-02 12:02:39,567 - connection_workflow - DEBUG	 - start: 656	 - Starting AMQP Connection workflow asynchronously.
2023-08-02 12:02:39,567 - select_connection - DEBUG	 - call_later: 263	 - call_later: added timeout <pika.adapters.select_connection._Timeout object at 0x7fb76a0244f0> with deadline=779542.55506178 and callback=functools.partial(<bound method AMQPConnectionWorkflow._start_new_cycle_async of <pika.adapters.utils.connection_workflow.AMQPConnectionWorkflow object at 0x7fb76a024520>>, first=True); now=779542.55506178; delay=0
2023-08-02 12:02:39,567 - connection_workflow - DEBUG	 - _start_new_cycle_async: 751	 - Beginning a new AMQP connection workflow cycle; attempts remaining after this: 0
2023-08-02 12:02:39,567 - select_connection - DEBUG	 - call_later: 263	 - call_later: added timeout <pika.adapters.select_connection._Timeout object at 0x7fb76a024490> with deadline=779542.555182885 and callback=<bound method AMQPConnectionWorkflow._try_next_config_async of <pika.adapters.utils.connection_workflow.AMQPConnectionWorkflow object at 0x7fb76a024520>>; now=779542.555182885; delay=0
2023-08-02 12:02:39,567 - connection_workflow - DEBUG	 - _try_next_config_async: 779	 - _try_next_config_async: '127.0.0.1':5672
2023-08-02 12:02:39,569 - select_connection - DEBUG	 - add_callback_threadsafe: 481	 - add_callback_threadsafe: added callback=<bound method _AddressResolver._dispatch_result of <pika.adapters.utils.selector_ioloop_adapter._AddressResolver object at 0x7fb76a024790>>
2023-08-02 12:02:39,569 - select_connection - DEBUG	 - process_timeouts: 494	 - process_timeouts: invoking callback=<bound method _AddressResolver._dispatch_result of <pika.adapters.utils.selector_ioloop_adapter._AddressResolver object at 0x7fb76a024790>>
2023-08-02 12:02:39,569 - selector_ioloop_adapter - DEBUG	 - _dispatch_result: 591	 - Invoking asynchronous getaddrinfo() completion callback; host='127.0.0.1'
2023-08-02 12:02:39,569 - connection_workflow - DEBUG	 - _on_getaddrinfo_async_done: 804	 - getaddrinfo returned 1 records
2023-08-02 12:02:39,569 - connection_workflow - DEBUG	 - _try_next_resolved_address: 822	 - Attempting to connect using address record (<AddressFamily.AF_INET: 2>, <SocketKind.SOCK_STREAM: 1>, 6, '', ('127.0.0.1', 5672))
2023-08-02 12:02:39,570 - connection_workflow - INFO	 - start: 179	 - Pika version 1.3.2 connecting to ('127.0.0.1', 5672)
2023-08-02 12:02:39,570 - select_connection - DEBUG	 - add_callback_threadsafe: 481	 - add_callback_threadsafe: added callback=<bound method _AsyncSocketConnector._start_async of <pika.adapters.utils.io_services_utils._AsyncSocketConnector object at 0x7fb76a024c10>>
2023-08-02 12:02:39,570 - select_connection - DEBUG	 - call_later: 263	 - call_later: added timeout <pika.adapters.select_connection._Timeout object at 0x7fb76a024dc0> with deadline=779552.557984515 and callback=<bound method AMQPConnector._on_tcp_connection_timeout of <pika.adapters.utils.connection_workflow.AMQPConnector object at 0x7fb76a024b50>>; now=779542.557984515; delay=10.0
2023-08-02 12:02:39,570 - select_connection - DEBUG	 - call_later: 263	 - call_later: added timeout <pika.adapters.select_connection._Timeout object at 0x7fb76a024af0> with deadline=779557.558022509 and callback=<bound method AMQPConnector._on_overall_timeout of <pika.adapters.utils.connection_workflow.AMQPConnector object at 0x7fb76a024b50>>; now=779542.558022509; delay=15.0
2023-08-02 12:02:39,570 - select_connection - DEBUG	 - process_timeouts: 494	 - process_timeouts: invoking callback=<bound method _AsyncSocketConnector._start_async of <pika.adapters.utils.io_services_utils._AsyncSocketConnector object at 0x7fb76a024c10>>
2023-08-02 12:02:39,570 - selector_ioloop_adapter - DEBUG	 - set_writer: 312	 - SelectorIOServicesAdapter.set_writer(7, <bound method _AsyncSocketConnector._on_writable of <pika.adapters.utils.io_services_utils._AsyncSocketConnector object at 0x7fb76a024c10>>)
2023-08-02 12:02:39,571 - selector_ioloop_adapter - DEBUG	 - set_writer: 324	 - set_writer(7, _) added handler Wr
